lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, 25_asuLevel, 25_cqi, 25_dbm, 25_level, 25_rsrp, 25_rsrq, 25_rssnr, timestamp, label
24.7895886,120.9949717,10.083999633789062,325.652099609375,0.0,-2.46,-29.64,-34.559998,50.012276,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7895886,120.9949717,10.083999633789062,325.652099609375,0.0,-16.8,30.24,-24.24,-16.81582,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7895886,120.9949717,10.083999633789062,325.652099609375,0.0,-30.84,29.82,2.58,40.878315,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7895979,120.994957,10.109000205993652,322.3062438964844,0.0,-20.16,4.74,-36.66,-100.69979,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7896069,120.9949443,10.076000213623047,320.5943908691406,0.0,-12.12,-25.08,-33.36,-107.0629,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7896069,120.9949443,10.076000213623047,320.5943908691406,0.0,-22.439999,30.48,-17.94,-27.728958,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7896069,120.9949443,10.076000213623047,320.5943908691406,0.0,-20.16,38.28,-2.52,20.730179,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7896161,120.9949314,10.059000015258789,318.65350341796875,0.0,-18.66,-11.4,-34.98,-9.014631,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7896161,120.9949314,10.059000015258789,318.65350341796875,0.0,-23.82,11.58,-33.6,-100.73064,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7896161,120.9949314,10.059000015258789,318.65350341796875,0.0,-6.72,40.68,-17.46,-2.3191135,25_48,25_7,25_-92,25_2,25_-92,25_-13,25_-3,33_46,33_0,33_-94,33_2,33_-94,33_-12,33_0,17,SIDEWALK
